time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
0.01;-0,44;0,21;0,88;0,30;-0,09;0,28;0,05;-0,12;-0,03;0,00
0.028;-0,44;0,21;0,88;0,20;-0,00;0,15;0,05;-0,12;-0,03;0,00
0.051;-0,44;0,21;0,88;0,20;-0,00;0,15;0,12;-0,04;-0,10;0,00
0.052;-0,44;0,21;0,88;0,06;0,06;0,06;0,12;-0,04;-0,10;0,00
0.053;-0,47;0,25;0,83;0,06;0,06;0,06;0,12;-0,04;-0,10;0,00
0.08;-0,47;0,25;0,83;0,01;0,13;0,01;0,12;-0,04;-0,10;0,00
0.088;-0,47;0,25;0,83;-0,14;0,05;-0,08;0,12;-0,04;-0,10;0,00
0.103;-0,47;0,25;0,83;-0,14;0,05;-0,08;0,06;-0,09;-0,07;0,00
0.108;-0,47;0,25;0,83;-0,19;0,05;-0,10;0,06;-0,09;-0,07;0,00
0.117;-0,48;0,24;0,81;-0,19;0,05;-0,10;0,06;-0,09;-0,07;0,00
0.134;-0,48;0,24;0,81;-0,13;-0,03;-0,21;0,06;-0,09;-0,07;0,00
0.148;-0,48;0,24;0,81;-0,13;-0,09;-0,15;0,06;-0,09;-0,07;0,00
0.169;-0,48;0,24;0,81;-0,07;-0,07;-0,04;0,06;-0,09;-0,07;0,00
0.17;-0,48;0,24;0,81;-0,07;-0,07;-0,04;0,01;0,00;-0,03;0,00
0.182;-0,47;0,23;0,83;-0,07;-0,07;-0,04;0,01;0,00;-0,03;0,00
0.188;-0,47;0,23;0,83;-0,05;-0,15;0,02;0,01;0,00;-0,03;0,00
0.208;-0,47;0,23;0,83;-0,03;-0,16;-0,06;0,01;0,00;-0,03;0,00
0.233;-0,47;0,23;0,83;0,04;-0,12;0,08;0,01;0,00;-0,03;0,00
0.235;-0,47;0,23;0,83;0,04;-0,12;0,08;-0,03;-0,01;-0,01;0,00
0.247;-0,46;0,23;0,85;0,04;-0,12;0,08;-0,03;-0,01;-0,01;0,00
0.249;-0,46;0,23;0,85;0,03;-0,11;0,22;-0,03;-0,01;-0,01;0,00
0.271;-0,46;0,23;0,85;0,09;-0,08;0,23;-0,03;-0,01;-0,01;0,00
0.3;-0,46;0,23;0,85;0,07;-0,07;0,26;-0,03;-0,01;-0,01;0,00
0.301;-0,46;0,23;0,85;0,07;-0,07;0,26;0,00;0,08;-0,01;0,00
0.308;-0,46;0,23;0,85;0,07;-0,12;0,24;0,00;0,08;-0,01;0,00
0.311;-0,46;0,23;0,85;0,07;-0,12;0,24;0,00;0,08;-0,01;0,00
0.333;-0,46;0,23;0,85;0,02;-0,07;0,23;0,00;0,08;-0,01;0,00
0.348;-0,46;0,23;0,85;0,07;-0,05;0,09;0,00;0,08;-0,01;0,00
0.363;-0,46;0,23;0,85;0,07;-0,05;0,09;0,02;0,02;-0,03;0,00
0.37;-0,46;0,23;0,85;-0,02;0,06;-0,04;0,02;0,02;-0,03;0,00
0.377;-0,48;0,24;0,82;-0,02;0,06;-0,04;0,02;0,02;-0,03;0,00
0.388;-0,48;0,24;0,82;-0,05;-0,00;-0,05;0,02;0,02;-0,03;0,00
0.408;-0,48;0,24;0,82;-0,03;0,04;-0,21;0,02;0,02;-0,03;0,00
0.434;-0,48;0,24;0,82;-0,04;0,10;-0,14;0,02;0,02;-0,03;0,00
0.435;-0,48;0,24;0,82;-0,04;0,10;-0,14;-0,04;0,05;0,04;0,00
0.442;-0,47;0,24;0,82;-0,04;0,10;-0,14;-0,04;0,05;0,04;0,00
0.448;-0,47;0,24;0,82;-0,04;-0,04;-0,02;-0,04;0,05;0,04;0,00
0.468;-0,47;0,24;0,82;-0,02;-0,01;-0,24;-0,04;0,05;0,04;0,00
0.488;-0,47;0,24;0,82;-0,14;-0,07;-0,19;-0,04;0,05;0,04;0,00
0.491;-0,47;0,24;0,82;-0,14;-0,07;-0,19;-0,09;0,19;0,06;0,00
0.507;-0,50;0,22;0,84;-0,14;-0,07;-0,19;-0,09;0,19;0,06;0,00
0.509;-0,50;0,22;0,84;-0,20;-0,10;0,20;-0,09;0,19;0,06;0,00
0.528;-0,50;0,22;0,84;-0,30;-0,28;0,36;-0,09;0,19;0,06;0,00
0.548;-0,50;0,22;0,84;-0,11;-0,16;-0,02;-0,09;0,19;0,06;0,00
0.557;-0,50;0,22;0,84;-0,11;-0,16;-0,02;-0,10;0,18;0,04;0,00
0.568;-0,50;0,22;0,84;-0,22;-0,19;-0,12;-0,10;0,18;0,04;0,00
0.571;-0,51;0,21;0,81;-0,22;-0,19;-0,12;-0,10;0,18;0,04;0,00
0.588;-0,51;0,21;0,81;-0,33;-0,26;0,28;-0,10;0,18;0,04;0,00
0.608;-0,51;0,21;0,81;-0,40;-0,35;0,46;-0,10;0,18;0,04;0,00
0.633;-0,51;0,21;0,81;-0,40;-0,35;0,46;-0,06;0,03;0,04;0,00
0.634;-0,51;0,21;0,81;-0,38;-0,24;0,32;-0,06;0,03;0,04;0,00
0.636;-0,52;0,19;0,84;-0,38;-0,24;0,32;-0,06;0,03;0,04;0,00
0.648;-0,52;0,19;0,84;-0,22;-0,18;0,19;-0,06;0,03;0,04;0,00
0.668;-0,52;0,19;0,84;-0,24;-0,10;0,04;-0,06;0,03;0,04;0,00
0.688;-0,52;0,19;0,84;-0,28;-0,07;0,13;-0,06;0,03;0,04;0,00
0.69;-0,52;0,19;0,84;-0,28;-0,07;0,13;-0,03;0,11;0,11;0,00
0.702;-0,52;0,22;0,81;-0,28;-0,07;0,13;-0,03;0,11;0,11;0,00
0.708;-0,52;0,22;0,81;-0,32;0,02;-0,06;-0,03;0,11;0,11;0,00
0.731;-0,52;0,22;0,81;-0,21;0,16;-0,17;-0,03;0,11;0,11;0,00
0.748;-0,52;0,22;0,81;-0,27;0,07;-0,12;-0,03;0,11;0,11;0,00
0.769;-0,52;0,22;0,81;-0,27;0,07;-0,12;-0,06;0,01;0,16;0,00
0.771;-0,53;0,24;0,79;-0,27;0,07;-0,12;-0,06;0,01;0,16;0,00
0.772;-0,53;0,24;0,79;-0,23;0,16;-0,20;-0,06;0,01;0,16;0,00
0.788;-0,53;0,24;0,79;-0,13;0,04;-0,21;-0,06;0,01;0,16;0,00
0.808;-0,53;0,24;0,79;-0,04;-0,01;-0,38;-0,06;0,01;0,16;0,00
0.827;-0,53;0,24;0,79;-0,04;-0,01;-0,38;-0,10;0,18;0,18;0,00
0.83;-0,53;0,24;0,79;-0,19;0,19;-0,16;-0,10;0,18;0,18;0,00
0.832;-0,54;0,24;0,81;-0,19;0,19;-0,16;-0,10;0,18;0,18;0,00
0.849;-0,54;0,24;0,81;-0,03;-0,08;0,08;-0,10;0,18;0,18;0,00
0.868;-0,54;0,24;0,81;-0,01;0,26;0,07;-0,10;0,18;0,18;0,00
0.884;-0,54;0,24;0,81;-0,01;0,26;0,07;-0,13;0,04;0,17;0,00
0.888;-0,54;0,24;0,81;0,20;0,21;-0,05;-0,13;0,04;0,17;0,00
0.896;-0,49;0,24;0,81;0,20;0,21;-0,05;-0,13;0,04;0,17;0,00
0.908;-0,49;0,24;0,81;0,12;0,13;0,12;-0,13;0,04;0,17;0,00
0.929;-0,49;0,24;0,81;0,23;0,02;0,21;-0,13;0,04;0,17;0,00
0.948;-0,49;0,24;0,81;0,19;0,09;0,22;-0,13;0,04;0,17;0,00
0.953;-0,49;0,24;0,81;0,19;0,09;0,22;-0,09;-0,01;0,12;0,00
0.962;-0,48;0,24;0,82;0,19;0,09;0,22;-0,09;-0,01;0,12;0,00
0.968;-0,48;0,24;0,82;0,13;0,10;0,10;-0,09;-0,01;0,12;0,00
0.988;-0,48;0,24;0,82;0,06;0,12;0,19;-0,09;-0,01;0,12;0,00
1.008;-0,48;0,24;0,82;0,07;0,17;0,17;-0,09;-0,01;0,12;0,00
1.011;-0,48;0,24;0,82;0,07;0,17;0,17;-0,07;-0,13;0,08;0,00
1.026;-0,48;0,25;0,82;0,07;0,17;0,17;-0,07;-0,13;0,08;0,00
1.028;-0,48;0,25;0,82;0,05;0,22;0,10;-0,07;-0,13;0,08;0,00
1.048;-0,48;0,25;0,82;0,02;0,22;0,13;-0,07;-0,13;0,08;0,00
1.068;-0,48;0,25;0,82;0,05;0,27;0,18;-0,07;-0,13;0,08;0,00
1.077;-0,48;0,25;0,82;0,05;0,27;0,18;-0,06;-0,10;0,04;0,00
1.088;-0,48;0,25;0,82;0,01;0,12;0,20;-0,06;-0,10;0,04;0,00
1.091;-0,48;0,24;0,84;0,01;0,12;0,20;-0,06;-0,10;0,04;0,00
1.108;-0,48;0,24;0,84;0,03;0,00;0,25;-0,06;-0,10;0,04;0,00
1.128;-0,48;0,24;0,84;0,19;0,03;0,33;-0,06;-0,10;0,04;0,00
1.144;-0,48;0,24;0,84;0,19;0,03;0,33;-0,02;-0,07;0,04;0,00
1.148;-0,48;0,24;0,84;0,33;0,01;0,32;-0,02;-0,07;0,04;0,00
1.157;-0,44;0,23;0,86;0,33;0,01;0,32;-0,02;-0,07;0,04;0,00
1.168;-0,44;0,23;0,86;0,41;-0,07;0,25;-0,02;-0,07;0,04;0,00
1.188;-0,44;0,23;0,86;0,30;-0,02;0,27;-0,02;-0,07;0,04;0,00
1.208;-0,44;0,23;0,86;0,38;0,10;0,19;-0,02;-0,07;0,04;0,00
1.209;-0,44;0,23;0,86;0,38;0,10;0,19;0,06;-0,01;-0,01;0,00
1.224;-0,43;0,23;0,85;0,38;0,10;0,19;0,06;-0,01;-0,01;0,00
1.228;-0,43;0,23;0,85;0,33;0,03;0,24;0,06;-0,01;-0,01;0,00
1.248;-0,43;0,23;0,85;0,31;0,06;0,30;0,06;-0,01;-0,01;0,00
1.268;-0,43;0,23;0,85;0,43;0,03;0,18;0,06;-0,01;-0,01;0,00
1.271;-0,43;0,23;0,85;0,43;0,03;0,18;0,10;0,01;-0,04;0,00
1.287;-0,42;0,23;0,84;0,43;0,03;0,18;0,10;0,01;-0,04;0,00
1.288;-0,42;0,23;0,84;0,44;-0,01;0,10;0,10;0,01;-0,04;0,00
1.308;-0,42;0,23;0,84;0,35;0,00;0,08;0,10;0,01;-0,04;0,00
1.328;-0,42;0,23;0,84;0,22;0,13;-0,11;0,10;0,01;-0,04;0,00
1.344;-0,42;0,23;0,84;0,22;0,13;-0,11;0,11;0,07;-0,13;0,00
1.348;-0,42;0,23;0,84;0,32;0,23;-0,09;0,11;0,07;-0,13;0,00
1.352;-0,43;0,26;0,81;0,32;0,23;-0,09;0,11;0,07;-0,13;0,00
1.368;-0,43;0,26;0,81;0,39;0,44;-0,21;0,11;0,07;-0,13;0,00
1.388;-0,43;0,26;0,81;0,46;0,57;-0,34;0,11;0,07;-0,13;0,00
1.403;-0,43;0,26;0,81;0,46;0,57;-0,34;0,15;0,24;-0,14;0,00
1.408;-0,43;0,26;0,81;0,52;0,71;-0,36;0,15;0,24;-0,14;0,00
1.423;-0,41;0,32;0,77;0,52;0,71;-0,36;0,15;0,24;-0,14;0,00
1.428;-0,41;0,32;0,77;0,66;0,92;-0,46;0,15;0,24;-0,14;0,00
1.448;-0,41;0,32;0,77;0,66;1,01;-0,29;0,15;0,24;-0,14;0,00
1.468;-0,41;0,32;0,77;0,78;1,01;-0,15;0,15;0,24;-0,14;0,00
1.469;-0,41;0,32;0,77;0,78;1,01;-0,15;0,09;0,29;-0,17;0,00
1.482;-0,41;0,36;0,79;0,78;1,01;-0,15;0,09;0,29;-0,17;0,00
1.488;-0,41;0,36;0,79;0,73;0,96;-0,07;0,09;0,29;-0,17;0,00
1.508;-0,41;0,36;0,79;0,60;0,89;-0,07;0,09;0,29;-0,17;0,00
1.528;-0,41;0,36;0,79;0,40;0,80;-0,03;0,09;0,29;-0,17;0,00
1.532;-0,41;0,36;0,79;0,40;0,80;-0,03;0,01;-0,05;-0,37;0,00
1.547;-0,47;0,34;0,79;0,40;0,80;-0,03;0,01;-0,05;-0,37;0,00
1.548;-0,47;0,34;0,79;0,16;0,86;-0,10;0,01;-0,05;-0,37;0,00
1.568;-0,47;0,34;0,79;-0,02;0,92;-0,39;0,01;-0,05;-0,37;0,00
1.588;-0,47;0,34;0,79;-0,09;1,14;-0,59;0,01;-0,05;-0,37;0,00
1.597;-0,47;0,34;0,79;-0,09;1,14;-0,59;0,06;-0,13;-0,48;0,00
1.608;-0,47;0,34;0,79;-0,14;1,14;-0,51;0,06;-0,13;-0,48;0,00
1.611;-0,49;0,38;0,75;-0,14;1,14;-0,51;0,06;-0,13;-0,48;0,00
1.628;-0,49;0,38;0,75;-0,10;1,26;-0,51;0,06;-0,13;-0,48;0,00
1.648;-0,49;0,38;0,75;-0,03;1,12;-0,51;0,06;-0,13;-0,48;0,00
1.663;-0,49;0,38;0,75;-0,03;1,12;-0,51;0,09;0,08;-0,36;0,00
1.668;-0,49;0,38;0,75;-0,06;1,00;-0,70;0,09;0,08;-0,36;0,00
1.676;-0,49;0,34;0,73;-0,06;1,00;-0,70;0,09;0,08;-0,36;0,00
1.688;-0,49;0,34;0,73;0,23;0,71;-0,57;0,09;0,08;-0,36;0,00
1.708;-0,49;0,34;0,73;0,09;0,71;-0,37;0,09;0,08;-0,36;0,00
1.728;-0,49;0,34;0,73;-0,16;0,95;-0,55;0,09;0,08;-0,36;0,00
1.729;-0,49;0,34;0,73;-0,16;0,95;-0,55;0,07;0,45;-0,32;0,00
1.744;-0,51;0,32;0,72;-0,16;0,95;-0,55;0,07;0,45;-0,32;0,00
1.748;-0,51;0,32;0,72;-0,11;0,70;-0,86;0,07;0,45;-0,32;0,00
1.768;-0,51;0,32;0,72;0,27;0,57;-1,29;0,07;0,45;-0,32;0,00
1.788;-0,51;0,32;0,72;0,47;0,41;-1,55;0,07;0,45;-0,32;0,00
1.792;-0,51;0,32;0,72;0,47;0,41;-1,55;-0,13;0,46;-0,40;0,00
1.807;-0,56;0,30;0,62;0,47;0,41;-1,55;-0,13;0,46;-0,40;0,00
1.808;-0,56;0,30;0,62;0,01;0,40;-1,34;-0,13;0,46;-0,40;0,00
1.828;-0,56;0,30;0,62;-0,27;0,48;-1,00;-0,13;0,46;-0,40;0,00
1.848;-0,56;0,30;0,62;0,08;0,32;-0,81;-0,13;0,46;-0,40;0,00
1.857;-0,56;0,30;0,62;0,08;0,32;-0,81;-0,34;1,04;-0,28;0,00
1.868;-0,56;0,30;0,62;-0,80;0,87;-0,80;-0,34;1,04;-0,28;0,00
1.872;-0,71;0,36;0,63;-0,80;0,87;-0,80;-0,34;1,04;-0,28;0,00
1.888;-0,71;0,36;0,63;-0,95;0,26;-0,54;-0,34;1,04;-0,28;0,00
1.908;-0,71;0,36;0,63;-0,81;0,62;0,14;-0,34;1,04;-0,28;0,00
1.925;-0,71;0,36;0,63;-0,81;0,62;0,14;-0,36;1,24;-0,38;0,00
1.928;-0,71;0,36;0,63;-0,04;0,73;0,06;-0,36;1,24;-0,38;0,00
1.947;-0,66;0,28;0,67;-0,04;0,73;0,06;-0,36;1,24;-0,38;0,00
1.949;-0,66;0,28;0,67;-0,15;0,68;-0,14;-0,36;1,24;-0,38;0,00
1.968;-0,66;0,28;0,67;-0,58;0,44;0,15;-0,36;1,24;-0,38;0,00
1.988;-0,66;0,28;0,67;-1,09;0,21;0,62;-0,36;1,24;-0,38;0,00
1.99;-0,66;0,28;0,67;-1,09;0,21;0,62;-0,44;1,24;-0,34;0,00
2.002;-0,82;0,19;0,69;-1,09;0,21;0,62;-0,44;1,24;-0,34;0,00
2.008;-0,82;0,19;0,69;-0,82;0,08;0,68;-0,44;1,24;-0,34;0,00
2.028;-0,82;0,19;0,69;-0,29;-0,36;0,51;-0,44;1,24;-0,34;0,00
2.048;-0,82;0,19;0,69;0,15;-0,66;0,15;-0,44;1,24;-0,34;0,00
2.052;-0,82;0,19;0,69;0,15;-0,66;0,15;-0,46;1,34;-0,65;0,00
2.067;-0,81;0,01;0,59;0,15;-0,66;0,15;-0,46;1,34;-0,65;0,00
2.069;-0,81;0,01;0,59;-0,32;-1,10;0,20;-0,46;1,34;-0,65;0,00
2.088;-0,81;0,01;0,59;-0,64;-1,42;0,36;-0,46;1,34;-0,65;0,00
2.108;-0,81;0,01;0,59;-0,40;-1,62;0,19;-0,46;1,34;-0,65;0,00
2.123;-0,81;0,01;0,59;-0,40;-1,62;0,19;-0,27;0,93;-0,72;0,00
2.128;-0,81;0,01;0,59;-0,06;-1,61;-0,14;-0,27;0,93;-0,72;0,00
2.147;-0,84;-0,12;0,50;-0,06;-1,61;-0,14;-0,27;0,93;-0,72;0,00
2.149;-0,84;-0,12;0,50;0,13;-1,91;-0,37;-0,27;0,93;-0,72;0,00
2.174;-0,84;-0,12;0,50;0,77;-1,88;-0,56;-0,27;0,93;-0,72;0,00
2.189;-0,84;-0,12;0,50;0,77;-1,88;-0,56;-0,20;1,01;-0,59;0,00
2.191;-0,84;-0,12;0,50;0,78;-1,92;-0,50;-0,20;1,01;-0,59;0,00
2.196;-0,78;-0,22;0,43;0,78;-1,92;-0,50;-0,20;1,01;-0,59;0,00
2.208;-0,78;-0,22;0,43;0,82;-2,02;-0,28;-0,20;1,01;-0,59;0,00
2.228;-0,78;-0,22;0,43;0,59;-1,97;0,10;-0,20;1,01;-0,59;0,00
2.255;-0,78;-0,22;0,43;0,59;-1,77;0,25;-0,20;1,01;-0,59;0,00
2.257;-0,78;-0,22;0,43;0,59;-1,77;0,25;-0,26;-0,37;-0,86;0,00
2.262;-0,78;-0,25;0,46;0,59;-1,77;0,25;-0,26;-0,37;-0,86;0,00
2.268;-0,78;-0,25;0,46;0,73;-1,52;-0,26;-0,26;-0,37;-0,86;0,00
2.288;-0,78;-0,25;0,46;1,13;-1,05;-1,00;-0,26;-0,37;-0,86;0,00
2.308;-0,78;-0,25;0,46;0,76;-0,69;-1,01;-0,26;-0,37;-0,86;0,00
2.311;-0,78;-0,25;0,46;0,76;-0,69;-1,01;-0,62;-0,07;-0,92;0,00
2.327;-0,76;-0,22;0,40;0,76;-0,69;-1,01;-0,62;-0,07;-0,92;0,00
2.328;-0,76;-0,22;0,40;0,75;-0,52;-0,71;-0,62;-0,07;-0,92;0,00
2.351;-0,76;-0,22;0,40;0,33;-0,35;-0,04;-0,62;-0,07;-0,92;0,00
2.368;-0,76;-0,22;0,40;0,06;-0,03;-0,10;-0,62;-0,07;-0,92;0,00
2.377;-0,76;-0,22;0,40;0,06;-0,03;-0,10;-0,80;-0,97;-0,92;0,00
2.388;-0,76;-0,22;0,40;-0,07;0,28;0,14;-0,80;-0,97;-0,92;0,00
2.392;-0,82;-0,19;0,51;-0,07;0,28;0,14;-0,80;-0,97;-0,92;0,00
2.408;-0,82;-0,19;0,51;0,20;0,77;0,11;-0,80;-0,97;-0,92;0,00
2.428;-0,82;-0,19;0,51;0,34;1,33;0,00;-0,80;-0,97;-0,92;0,00
2.446;-0,82;-0,19;0,51;0,34;1,33;0,00;-0,83;-1,19;-0,77;0,00
2.453;-0,82;-0,19;0,51;0,24;1,73;0,45;-0,83;-1,19;-0,77;0,00
2.457;-0,76;-0,09;0,63;0,24;1,73;0,45;-0,83;-1,19;-0,77;0,00
2.468;-0,76;-0,09;0,63;-0,39;1,99;0,86;-0,83;-1,19;-0,77;0,00
2.488;-0,76;-0,09;0,63;-0,84;1,86;0,80;-0,83;-1,19;-0,77;0,00
2.508;-0,76;-0,09;0,63;-0,79;2,01;0,99;-0,83;-1,19;-0,77;0,00
2.509;-0,76;-0,09;0,63;-0,79;2,01;0,99;-0,68;-1,36;-0,60;0,00
2.522;-0,76;-0,10;0,70;-0,79;2,01;0,99;-0,68;-1,36;-0,60;0,00
2.528;-0,76;-0,10;0,70;-0,49;2,04;0,84;-0,68;-1,36;-0,60;0,00
2.548;-0,76;-0,10;0,70;-0,55;2,23;0,77;-0,68;-1,36;-0,60;0,00
2.568;-0,76;-0,10;0,70;-0,80;1,98;0,88;-0,68;-1,36;-0,60;0,00
2.572;-0,76;-0,10;0,70;-0,80;1,98;0,88;-0,25;-0,55;-0,31;0,00
2.586;-0,76;-0,12;0,72;-0,80;1,98;0,88;-0,25;-0,55;-0,31;0,00
2.589;-0,76;-0,12;0,72;-0,93;1,94;0,84;-0,25;-0,55;-0,31;0,00
2.608;-0,76;-0,12;0,72;-1,21;1,80;1,12;-0,25;-0,55;-0,31;0,00
2.628;-0,76;-0,12;0,72;-1,45;2,04;0,68;-0,25;-0,55;-0,31;0,00
2.641;-0,76;-0,12;0,72;-1,45;2,04;0,68;0,04;-0,48;-0,21;0,00
2.649;-0,76;-0,12;0,72;-0,88;1,23;0,33;0,04;-0,48;-0,21;0,00
2.651;-0,73;-0,20;0,73;-0,88;1,23;0,33;0,04;-0,48;-0,21;0,00
2.668;-0,73;-0,20;0,73;-1,04;1,09;1,03;0,04;-0,48;-0,21;0,00
2.688;-0,73;-0,20;0,73;-1,06;0,90;1,33;0,04;-0,48;-0,21;0,00
2.703;-0,73;-0,20;0,73;-1,06;0,90;1,33;0,30;-0,50;-0,32;0,00
2.708;-0,73;-0,20;0,73;-1,19;0,01;1,64;0,30;-0,50;-0,32;0,00
2.721;-0,78;-0,34;0,91;-1,19;0,01;1,64;0,30;-0,50;-0,32;0,00
2.728;-0,78;-0,34;0,91;-1,28;-0,77;2,73;0,30;-0,50;-0,32;0,00
2.748;-0,78;-0,34;0,91;-1,17;-1,05;3,44;0,30;-0,50;-0,32;0,00
2.768;-0,78;-0,34;0,91;-1,43;-1,51;3,44;0,30;-0,50;-0,32;0,00
2.769;-0,78;-0,34;0,91;-1,43;-1,51;3,44;0,31;-0,27;-0,60;0,00
2.782;-0,67;-0,48;0,99;-1,43;-1,51;3,44;0,31;-0,27;-0,60;0,00
2.788;-0,67;-0,48;0,99;-0,95;-1,67;2,49;0,31;-0,27;-0,60;0,00
2.808;-0,67;-0,48;0,99;-0,57;-1,54;1,63;0,31;-0,27;-0,60;0,00
2.828;-0,67;-0,48;0,99;-0,11;-1,04;1,44;0,31;-0,27;-0,60;0,00
2.838;-0,67;-0,48;0,99;-0,11;-1,04;1,44;0,51;0,76;-0,62;0,00
2.847;-0,52;-0,39;0,87;-0,11;-1,04;1,44;0,51;0,76;-0,62;0,00
2.849;-0,52;-0,39;0,87;0,50;-0,58;1,49;0,51;0,76;-0,62;0,00
2.868;-0,52;-0,39;0,87;1,46;-0,40;0,97;0,51;0,76;-0,62;0,00
2.888;-0,52;-0,39;0,87;2,03;-0,58;0,35;0,51;0,76;-0,62;0,00
2.897;-0,52;-0,39;0,87;2,03;-0,58;0,35;0,59;1,67;-0,72;0,00
2.908;-0,52;-0,39;0,87;0,97;-0,68;0,51;0,59;1,67;-0,72;0,00
2.911;-0,52;-0,43;0,75;0,97;-0,68;0,51;0,59;1,67;-0,72;0,00
2.928;-0,52;-0,43;0,75;0,86;-0,80;0,87;0,59;1,67;-0,72;0,00
2.948;-0,52;-0,43;0,75;1,02;-0,96;0,95;0,59;1,67;-0,72;0,00
2.963;-0,52;-0,43;0,75;1,02;-0,96;0,95;0,52;1,38;-0,75;0,00
2.968;-0,52;-0,43;0,75;0,98;-1,12;0,77;0,52;1,38;-0,75;0,00
2.977;-0,52;-0,47;0,71;0,98;-1,12;0,77;0,52;1,38;-0,75;0,00
2.988;-0,52;-0,47;0,71;1,39;-0,84;0,56;0,52;1,38;-0,75;0,00
3.008;-0,52;-0,47;0,71;3,12;-0,34;0,13;0,52;1,38;-0,75;0,00
3.028;-0,52;-0,47;0,71;3,29;0,00;0,10;0,52;1,38;-0,75;0,00
3.03;-0,52;-0,47;0,71;3,29;0,00;0,10;0,71;1,64;-0,57;0,00
3.042;-0,32;-0,37;0,64;3,29;0,00;0,10;0,71;1,64;-0,57;0,00
3.049;-0,32;-0,37;0,64;3,12;0,28;0,37;0,71;1,64;-0,57;0,00
3.068;-0,32;-0,37;0,64;2,84;0,33;0,67;0,71;1,64;-0,57;0,00
3.088;-0,32;-0,37;0,64;2,67;0,50;0,34;0,71;1,64;-0,57;0,00
3.092;-0,32;-0,37;0,64;2,67;0,50;0,34;0,87;0,71;-0,68;0,00
3.107;-0,37;-0,34;0,62;2,67;0,50;0,34;0,87;0,71;-0,68;0,00
3.108;-0,37;-0,34;0,62;2,68;0,52;0,07;0,87;0,71;-0,68;0,00
3.128;-0,37;-0,34;0,62;2,29;0,33;-0,18;0,87;0,71;-0,68;0,00
3.148;-0,37;-0,34;0,62;1,84;0,17;-0,21;0,87;0,71;-0,68;0,00
3.157;-0,37;-0,34;0,62;1,84;0,17;-0,21;0,81;0,78;-0,59;0,00
3.168;-0,37;-0,34;0,62;1,26;0,08;-0,08;0,81;0,78;-0,59;0,00
3.172;-0,54;-0,39;0,61;1,26;0,08;-0,08;0,81;0,78;-0,59;0,00
3.188;-0,54;-0,39;0,61;0,44;0,06;0,16;0,81;0,78;-0,59;0,00
3.208;-0,54;-0,39;0,61;-0,23;-0,12;0,09;0,81;0,78;-0,59;0,00
3.223;-0,54;-0,39;0,61;-0,23;-0,12;0,09;0,54;-0,21;-0,49;0,00
3.228;-0,54;-0,39;0,61;-0,94;-0,41;0,19;0,54;-0,21;-0,49;0,00
3.251;-0,77;-0,46;0,66;-0,94;-0,41;0,19;0,54;-0,21;-0,49;0,00
3.252;-0,77;-0,46;0,66;-1,63;-1,01;0,44;0,54;-0,21;-0,49;0,00
3.268;-0,77;-0,46;0,66;-1,93;-1,43;0,33;0,54;-0,21;-0,49;0,00
3.288;-0,77;-0,46;0,66;-2,17;-1,43;0,39;0,54;-0,21;-0,49;0,00
3.289;-0,77;-0,46;0,66;-2,17;-1,43;0,39;0,36;-0,08;-0,01;0,00
3.302;-0,88;-0,54;0,67;-2,17;-1,43;0,39;0,36;-0,08;-0,01;0,00
3.308;-0,88;-0,54;0,67;-2,37;-1,59;0,31;0,36;-0,08;-0,01;0,00
3.328;-0,88;-0,54;0,67;-2,28;-1,72;0,04;0,36;-0,08;-0,01;0,00
3.348;-0,88;-0,54;0,67;-2,17;-1,94;-0,07;0,36;-0,08;-0,01;0,00
3.352;-0,88;-0,54;0,67;-2,17;-1,94;-0,07;0,17;0,25;0,22;0,00
3.367;-0,87;-0,58;0,65;-2,17;-1,94;-0,07;0,17;0,25;0,22;0,00
3.369;-0,87;-0,58;0,65;-2,14;-2,00;0,26;0,17;0,25;0,22;0,00
3.388;-0,87;-0,58;0,65;-2,05;-2,00;0,41;0,17;0,25;0,22;0,00
3.408;-0,87;-0,58;0,65;-1,73;-1,75;0,25;0,17;0,25;0,22;0,00
3.421;-0,87;-0,58;0,65;-1,73;-1,75;0,25;-0,01;-0,07;0,23;0,00
3.428;-0,87;-0,58;0,65;-1,34;-1,63;-0,18;-0,01;-0,07;0,23;0,00
3.443;-0,79;-0,54;0,60;-1,34;-1,63;-0,18;-0,01;-0,07;0,23;0,00
3.45;-0,79;-0,54;0,60;-1,06;-1,32;-0,34;-0,01;-0,07;0,23;0,00
3.468;-0,79;-0,54;0,60;-0,33;-1,05;-0,74;-0,01;-0,07;0,23;0,00
3.483;-0,79;-0,54;0,60;-0,33;-1,05;-0,74;0,20;-0,55;0,23;0,00
3.488;-0,79;-0,54;0,60;0,22;-0,56;-1,74;0,20;-0,55;0,23;0,00
3.498;-0,59;-0,42;0,44;0,22;-0,56;-1,74;0,20;-0,55;0,23;0,00
3.508;-0,59;-0,42;0,44;0,71;-0,57;-1,70;0,20;-0,55;0,23;0,00
3.528;-0,59;-0,42;0,44;0,46;-0,50;-1,23;0,20;-0,55;0,23;0,00
3.548;-0,59;-0,42;0,44;0,52;-0,73;-1,16;0,20;-0,55;0,23;0,00
3.55;-0,59;-0,42;0,44;0,52;-0,73;-1,16;0,23;-0,01;0,05;0,00
3.562;-0,59;-0,43;0,51;0,52;-0,73;-1,16;0,23;-0,01;0,05;0,00
